fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
33011,"Hillsborough County, New Hampshire",New Hampshire,838100,5788,6.906097124448157,6.906097124448157
33013,"Merrimack County, New Hampshire",New Hampshire,296870,2022,6.811062081045575,6.811062081045575
33015,"Rockingham County, New Hampshire",New Hampshire,657650,4464,6.787805063483616,6.787805063483616
33017,"Strafford County, New Hampshire",New Hampshire,243010,1639,6.744578412411012,6.744578412411012
33019,"Sullivan County, New Hampshire",New Hampshire,85020,593,6.9748294518936715,6.9748294518936715
34001,"Atlantic County, New Jersey",New Jersey,545470,4116,7.545786202724257,7.545786202724257
34003,"Bergen County, New Jersey",New Jersey,1838620,14115,7.676953367199313,7.676953367199313
34005,"Burlington County, New Jersey",New Jersey,894630,6210,6.9414171221622345,6.9414171221622345
34007,"Camden County, New Jersey",New Jersey,979120,7252,7.406650870169131,7.406650870169131
34009,"Cape May County, New Jersey",New Jersey,2e5,1433,7.165,7.165
34011,"Cumberland County, New Jersey",New Jersey,271410,2035,7.497881433992852,7.497881433992852
34013,"Essex County, New Jersey",New Jersey,1465480,12348,8.425908234844556,8.425908234844556
34015,"Gloucester County, New Jersey",New Jersey,553910,3760,6.7881063710711125,6.7881063710711125
34017,"Hudson County, New Jersey",New Jersey,1295100,10210,7.883561114971817,7.883561114971817
34019,"Hunterdon County, New Jersey",New Jersey,257090,1974,7.678244972577696,7.678244972577696
34021,"Mercer County, New Jersey",New Jersey,695490,5322,7.652158909545788,7.652158909545788
34023,"Middlesex County, New Jersey",New Jersey,1603200,11440,7.135728542914172,7.135728542914172
34025,"Monmouth County, New Jersey",New Jersey,1274280,9517,7.468531249019054,7.468531249019054
34027,"Morris County, New Jersey",New Jersey,1007460,7675,7.61816846326405,7.61816846326405
34029,"Ocean County, New Jersey",New Jersey,1118300,7606,6.8013949745148885,6.8013949745148885
34031,"Passaic County, New Jersey",New Jersey,985230,7716,7.831673822356201,7.831673822356201
34033,"Salem County, New Jersey",New Jersey,123090,866,7.035502477861727,7.035502477861727
34035,"Somerset County, New Jersey",New Jersey,668270,5218,7.808221227946788,7.808221227946788
34037,"Sussex County, New Jersey",New Jersey,290170,1966,6.775338594616949,6.775338594616949
34039,"Union County, New Jersey",New Jersey,1082030,8343,7.710507102390876,7.710507102390876
34041,"Warren County, New Jersey",New Jersey,212960,1435,6.738354620586025,6.738354620586025
35001,"Bernalillo County, New Mexico",New Mexico,1222970,9457,7.7328143781123,7.7328143781123
35003,"Catron County, New Mexico",New Mexico,5510,48,8.711433756805809,8.711433756805809
35005,"Chaves County, New Mexico",New Mexico,102810,882,8.578932010504815,8.578932010504815
35006,"Cibola County, New Mexico",New Mexico,37040,326,8.801295896328293,8.801295896328293
35007,"Colfax County, New Mexico",New Mexico,22130,180,8.133755083596927,8.133755083596927
35009,"Curry County, New Mexico",New Mexico,84520,683,8.080927591102698,8.080927591102698
35011,"De Baca County, New Mexico",New Mexico,3370,28,8.30860534124629,8.30860534124629
35013,"Doña Ana County, New Mexico",New Mexico,359550,3113,8.658044778194965,8.658044778194965
35015,"Eddy County, New Mexico",New Mexico,97590,749,7.6749666974075215,7.6749666974075215
35017,"Grant County, New Mexico",New Mexico,50340,403,8.005562177195074,8.005562177195074
35019,"Guadalupe County, New Mexico",New Mexico,7340,66,8.991825613079019,8.991825613079019
35021,"Harding County, New Mexico",New Mexico,1290,7,5.426356589147287,6
35023,"Hidalgo County, New Mexico",New Mexico,7390,65,8.795669824086604,8.795669824086604
35025,"Lea County, New Mexico",New Mexico,113540,879,7.741765016734191,7.741765016734191
35027,"Lincoln County, New Mexico",New Mexico,36300,311,8.567493112947659,8.567493112947659
35028,"Los Alamos County, New Mexico",New Mexico,35760,258,7.2147651006711415,7.2147651006711415
35029,"Luna County, New Mexico",New Mexico,42270,407,9.628578187840075,9.628578187840075
35031,"McKinley County, New Mexico",New Mexico,127400,1300,10.204081632653061,10.204081632653061
35033,"Mora County, New Mexico",New Mexico,7990,70,8.760951188986233,8.760951188986233
35035,"Otero County, New Mexico",New Mexico,105630,870,8.23629650667424,8.23629650667424
35037,"Quay County, New Mexico",New Mexico,14650,130,8.873720136518772,8.873720136518772
35039,"Rio Arriba County, New Mexico",New Mexico,66280,538,8.117079058539531,8.117079058539531
35041,"Roosevelt County, New Mexico",New Mexico,30920,259,8.376455368693401,8.376455368693401
35043,"Sandoval County, New Mexico",New Mexico,245510,1875,7.63716345566372,7.63716345566372
35045,"San Juan County, New Mexico",New Mexico,208500,1714,8.220623501199041,8.220623501199041
35047,"San Miguel County, New Mexico",New Mexico,46050,395,8.577633007600433,8.577633007600433
35049,"Santa Fe County, New Mexico",New Mexico,297700,2339,7.856902922405106,7.856902922405106
35051,"Sierra County, New Mexico",New Mexico,19510,169,8.66222450025628,8.66222450025628
35053,"Socorro County, New Mexico",New Mexico,27610,242,8.764940239043826,8.764940239043826
35055,"Taos County, New Mexico",New Mexico,62010,539,8.692146427995484,8.692146427995484
